Trustey Family Scholars Program,"Trustey Family Scholars Program is available to all undergraduate students who demonstrated an excellent academic achievement, and are majoring in the College of Engineering or Science. ...",https://www.scholarshipportal.com/scholarship/trustey-family-scholars-program,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
"School of Business, Economics and Law Travel Scholarship","Students at the School of Business, Economics and Law at the University of Gothenburg, who have been admitted to exchange studies, can apply for the travel scholarship. ...",https://www.scholarshipportal.com/scholarship/school-of-business-economics-and-law-travel-scholarship,"Bachelor, , Master, , Phd",The amount varies based in applicants number.,30-Sep-22,NA
The Adlerbert Scholarships,The University of Gothenburg is annually allocated funds from the Adlerbertska foundations for the distribution of scholarships to students. ...,https://www.scholarshipportal.com/scholarship/the-adlerbert-scholarships,"Bachelor, , Master",€ 1400 per scholarship,16-Sep-22,NA
Fulbright-Cardiff University scholarship,"US citizens can apply for the Fulbright-Cardiff University scholarship, which is offered each academic year. ...",https://www.scholarshipportal.com/scholarship/fulbright-cardiff-university-scholarship,"Bachelor, , Master, , Phd",Fee waiver for one year’s overseas tuition fees,11-Oct-22,NA
Undergraduate International Chancellor's Scholarship,"Rutgers University–Camden will offer scholarships to all nonsponsored, international applicants who meet admission requirements and enroll full-time in the College of Arts and Sciences or the School of Business. ...",https://www.scholarshipportal.com/scholarship/undergraduate-international-chancellors-scholarship,Bachelor,"$10,000 full scholarship",NA,NA
Undergraduate International Chancellor's Merit Scholarship,"Rutgers University–Camden will offer scholarships up to $15,000 to all nonsponsored, international applicants who meet admission requirements and enroll full-time in the College of Arts and Sciences or the School of Business. ...",https://www.scholarshipportal.com/scholarship/undergraduate-international-chancellors-merit-scholarship,Bachelor,"$10,000 full scholarships",NA,NA
Crowley Family Scholarship,Crowley Family Scholarship is available to all undergraduate students who proved and outstanding academic achievement and commitment to service. ...,https://www.scholarshipportal.com/scholarship/crowley-family-scholarship,Bachelor,"$25,000 per year in tuition fees",NA,NA
Suzanne and Walter Scott Scholars Program,Suzanne and Walter Scott Scholars Program is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/suzanne-and-walter-scott-scholars-program,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
St. Joseph Engineering Scholarship,"St. Joseph Engineering Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement, and are majoring in Engineering. ...",https://www.scholarshipportal.com/scholarship/st-joseph-engineering-scholarship,Bachelor,"$15,000 per year in tuition fees, up to four years",NA,NA
Allan J. and Reda Radwan Riley Scholarship,Allan J. and Reda Radwan Riley Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/allan-j-and-reda-radwan-riley-scholarship,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
William F. Reilly Trustee Scholarship,William F. Reilly Trustee Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/william-f-reilly-trustee-scholarship,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
Mulva Scholars Program,"Mulva Scholars Program is available to all undergraduate students who demonstrated an excellent academic achievement, and are in financial need. ...",https://www.scholarshipportal.com/scholarship/mulva-scholars-program,Bachelor,"$35,000 per year in tuition fees, up to four years",NA,NA
